group,artefact,version
org.apache.pdfbox,pdfbox,3.0.4
org.apache.pdfbox,fontbox,3.0.4
org.apache.pdfbox,pdfbox-io,3.0.4
commons-logging,commons-logging,1.3.4
info.picocli,picocli,4.7.6
commons-io,commons-io,2.18.0
org.apache.pdfbox,pdfbox-tools,3.0.4
org.apache.pdfbox,pdfbox-debugger,3.0.4
